Manche;Nom;Vie;Dégâts;Vitesse
15;GiantEnfant;225,32;34,84;1,11
15;GiantEnfant;189,18;32,75;0,80
15;GiantEnfant;220,66;39,96;1,10
15;GiantEnfant;194,27;41,91;0,83
16;GiantEnfant;216,75;40,06;1,08
16;GiantEnfant;228,20;39,81;0,84
16;GiantEnfant;218,19;38,02;1,15
16;GiantEnfant;217,40;35,48;1,16
16;GiantEnfant;205,17;37,11;0,85
16;GiantEnfant;240,01;39,46;0,78
16;GiantEnfant;178,49;34,77;1,14
16;GiantEnfant;217,73;36,26;0,86
16;GiantEnfant;237,34;36,32;1,09
16;GiantEnfant;227,84;40,02;1,11
16;GiantEnfant;215,29;39,09;0,87
16;GiantEnfant;220,79;39,64;1,06
16;GiantEnfant;233,91;36,61;1,00
16;GiantEnfant;233,32;39,33;1,13
16;GiantEnfant;225,07;33,48;0,75
16;GiantEnfant;231,50;35,71;1,13
16;GiantEnfant;216,46;33,59;1,20
16;GiantEnfant;236,64;37,78;0,73
16;GiantEnfant;221,86;37,80;1,13
16;GiantEnfant;217,03;41,79;1,19
17;GiantEnfant;207,68;38,75;1,13
17;GiantEnfant;237,84;40,42;0,83
17;GiantEnfant;211,82;37,21;1,15
17;GiantEnfant;228,28;40,06;1,11
17;GiantEnfant;239,93;37,76;0,99
17;GiantEnfant;210,18;36,81;0,87
17;GiantEnfant;206,24;34,05;1,25
17;GiantEnfant;226,82;36,87;1,11
17;GiantEnfant;179,22;33,33;1,14
17;GiantEnfant;221,12;34,77;0,82
17;GiantEnfant;210,86;39,37;0,85
17;GiantEnfant;224,45;33,30;1,13
17;GiantEnfant;210,06;40,92;0,84
17;GiantEnfant;171,85;36,26;0,87
17;GiantEnfant;235,01;37,73;1,05
17;GiantEnfant;213,56;37,67;1,15
17;GiantEnfant;187,36;38,45;1,18
17;GiantEnfant;225,81;38,04;1,12
17;GiantEnfant;226,22;41,00;1,18
17;GiantEnfant;218,89;36,58;1,14
18;GiantEnfant;241,35;42,37;0,82
18;GiantEnfant;236,15;36,53;1,12
18;GiantEnfant;220,05;32,95;1,13
18;GiantEnfant;164,16;37,52;0,89
18;GiantEnfant;234,13;39,05;1,08
18;GiantEnfant;234,29;36,42;0,99
18;GiantEnfant;200,84;38,37;0,83
18;GiantEnfant;216,27;37,35;1,16
18;GiantEnfant;202,91;32,47;1,21
18;GiantEnfant;180,06;34,42;1,13
18;GiantEnfant;231,06;33,26;1,12
18;GiantEnfant;228,28;38,04;1,07
18;GiantEnfant;221,13;39,66;1,18
18;GiantEnfant;206,05;41,00;1,21
18;GiantEnfant;232,12;39,66;1,11
18;GiantEnfant;177,61;34,24;1,15
18;GiantEnfant;233,09;33,81;1,30
18;GiantEnfant;224,70;36,06;1,17
18;GiantEnfant;227,48;36,59;1,06
18;GiantEnfant;175,35;35,76;0,88
19;GiantEnfant;249,07;42,57;0,86
19;GiantEnfant;226,32;36,91;1,10
19;GiantEnfant;221,05;31,60;1,17
19;GiantEnfant;241,18;37,33;1,08
19;GiantEnfant;180,19;32,87;1,14
19;GiantEnfant;237,36;34,36;1,17
19;GiantEnfant;202,26;39,22;0,81
19;GiantEnfant;207,48;35,72;1,15
19;GiantEnfant;174,24;35,90;1,14
19;GiantEnfant;172,24;35,55;0,90
19;GiantEnfant;216,90;33,09;1,14
19;GiantEnfant;237,40;38,21;0,82
19;GiantEnfant;182,95;31,81;1,18
19;GiantEnfant;230,53;39,43;1,08
19;GiantEnfant;227,66;36,59;1,11
19;GiantEnfant;226,97;31,84;1,15
19;GiantEnfant;247,22;33,01;0,83
19;GiantEnfant;187,04;37,41;1,08
19;GiantEnfant;237,09;37,55;1,16
19;GiantEnfant;223,31;39,18;0,81
20;GiantEnfant;245,11;41,74;0,88
20;GiantEnfant;247,52;36,77;1,05
20;GiantEnfant;177,57;33,23;1,11
20;GiantEnfant;194,25;37,93;1,12
20;GiantEnfant;195,64;40,51;0,81
20;GiantEnfant;231,38;35,91;1,14
20;GiantEnfant;235,78;40,17;1,05
20;GiantEnfant;174,50;37,16;1,09
20;GiantEnfant;254,88;34,12;0,83
20;GiantEnfant;189,64;33,09;1,14
20;GiantEnfant;232,86;34,74;1,17
20;GiantEnfant;246,52;34,25;0,86
20;GiantEnfant;168,73;34,14;1,17
20;GiantEnfant;185,94;32,65;1,10
20;GiantEnfant;223,89;34,03;1,14
20;GiantEnfant;255,20;33,12;0,80
20;GiantEnfant;211,28;33,81;0,85
20;GiantEnfant;182,12;38,68;1,12
20;GiantEnfant;175,74;37,11;1,12
20;GiantEnfant;252,43;37,43;0,82
21;GiantEnfant;238,66;43,54;0,86
21;GiantEnfant;180,59;31,74;1,13
21;GiantEnfant;257,58;37,60;1,01
21;GiantEnfant;177,77;33,10;1,11
21;GiantEnfant;204,90;38,86;0,78
21;GiantEnfant;171,72;36,90;1,11
21;GiantEnfant;218,45;33,25;0,82
21;GiantEnfant;242,03;34,75;0,83
21;GiantEnfant;175,33;34,06;1,22
21;GiantEnfant;169,48;37,50;1,11
21;GiantEnfant;175,82;34,35;1,09
21;GiantEnfant;215,70;34,21;0,86
21;GiantEnfant;246,57;31,81;0,91
21;GiantEnfant;213,00;34,58;0,82
21;GiantEnfant;178,45;33,02;1,17
21;GiantEnfant;259,51;35,55;1,07
21;GiantEnfant;190,64;32,20;0,89
21;GiantEnfant;188,22;32,98;0,80
21;GiantEnfant;177,07;37,01;1,04
21;GiantEnfant;236,02;35,75;1,05
22;GiantEnfant;250,09;43,87;0,84
22;GiantEnfant;177,38;32,44;1,07
22;GiantEnfant;252,71;34,50;1,03
22;GiantEnfant;259,89;38,87;1,05
22;GiantEnfant;175,43;32,65;1,11
22;GiantEnfant;195,78;38,86;0,79
22;GiantEnfant;221,51;33,00;0,80
22;GiantEnfant;192,45;33,19;0,91
22;GiantEnfant;164,65;35,75;1,17
22;GiantEnfant;234,54;32,07;0,88
22;GiantEnfant;172,94;35,52;1,13
22;GiantEnfant;166,67;36,51;1,08
22;GiantEnfant;248,70;37,22;0,81
22;GiantEnfant;181,70;30,23;0,93
22;GiantEnfant;253,27;44,47;0,90
22;GiantEnfant;248,49;33,14;0,91
22;GiantEnfant;209,90;39,94;1,08
22;GiantEnfant;246,22;37,88;0,92
22;GiantEnfant;189,29;37,56;1,18
22;GiantEnfant;181,80;34,00;0,85
23;GiantEnfant;262,08;43,92;0,93
23;GiantEnfant;247,59;42,57;0,83
23;GiantEnfant;241,63;39,17;0,93
23;GiantEnfant;180,39;34,99;0,88
23;GiantEnfant;250,65;34,15;1,06
23;GiantEnfant;249,48;37,18;1,09
23;GiantEnfant;180,98;37,86;1,19
23;GiantEnfant;171,76;33,70;1,07
23;GiantEnfant;165,98;36,96;1,10
23;GiantEnfant;190,87;38,06;0,80
23;GiantEnfant;242,49;31,80;1,00
23;GiantEnfant;248,95;32,20;1,12
